Year,Course,attendance,Mean_Mark
1,Physics with Astrophysics,53.1%,58.5
1,Physics,53.0%,51.5
3,Theoretical Physics,72.1%,70.3
0,Phys and Astro (FDN),54.1%,52.8
2,Physics,68.0%,74.3
1,Physics (IP),79.9%,84.3
1,Physics,67.7%,54.0
1,Physics,91.3%,68.6
2,Physics with Astrophysics,86.9%,63.5
2,Physics with Astrophysics,53.7%,58.5
0,Phys and Astro (FDN),67.0%,59.3
1,Particle Physics,76.8%,40.8
2,Phys with Astroph (RP),92.0%,81.3
3,Physics,65.4%,79.3
1,Physics,68.5%,69.8
1,Particle Physics,73.8%,44.0
2,Physics with Astrophysics,62.2%,62.0
0,Phys and Astro (FDN),70.3%,59.0
0,Phys and Astro (FDN),64.8%,65.0
1,Physics,84.4%,59.3
0,Phys and Astro (FDN),82.2%,58.8
1,Quan Tech,72.5%,81.3
2,Physics,66.0%,68.3
1,Theoretical Physics,60.0%,54.3
1,Astrophysics,91.4%,59.0
4,Physics,94.4%,58.3
1,Physics with Astrophysics,75.0%,56.3
1,Theoretical Physics,72.1%,78.3
1,Physics,67.5%,43.5
0,Phys and Astro (FDN),71.2%,60.5
1,Astrophysics,64.4%,28.3
0,Phys and Astro (FDN),50.5%,31.0
1,V&E - MPS,100.0%,82.8
2,Physics with Astrophysics,97.6%,39.3
3,Theoretical Physics,79.8%,73.0
0,Phys and Astro (FDN),60.8%,34.3
4,Physics,100.0%,62.3
3,Astrophysics,50.7%,62.3
1,Quan Tech,67.1%,79.8
2,Physics,53.6%,29.0
1,Physics with Astrophysics,56.1%,42.3
1,Astrophysics,74.9%,72.3
0,Phys and Astro (FDN),76.5%,54.8
2,Physics,56.7%,41.5
1,V&E - MPS,65.9%,61.0
1,Quan Tech,86.3%,73.3
1,Particle Physics,95.7%,59.8
2,Physics with Astrophysics,88.7%,36.0
3,Theoretical Physics,69.4%,68.6
1,Astronomy,78.3%,7.0
1,Particle Physics,57.4%,34.0
1,Particle Physics,88.4%,82.5
3,Astrophysics,94.9%,72.0
2,Physics,68.2%,26.8
0,Phys and Astro (FDN),75.1%,67.3
1,Nanomaterials and Energy,50.6%,13.3
1,Cosmology,74.5%,44.5
0,Phys and Astro (FDN),51.2%,54.8
2,Physics with Astrophysics,80.0%,57.5
0,Phys and Astro (FDN),86.8%,45.3
0,Phys and Astro (FDN),90.6%,46.0
3,Physics with Astrophysics,89.7%,78.5
1,Physics (IP),67.5%,63.0
2,Physics,71.5%,68.0
1,Astronomy,82.0%,53.5
1,Physics,71.0%,62.0
1,Theoretical Physics,78.9%,67.8
0,Phys and Astro (FDN),51.9%,11.8
1,Physics,92.7%,86.0
1,Physics,70.5%,62.6
