Name,Redshift,Mean_X,Mean_x_minus_delta,Mean_x_plus_delta,Mean_y,Mean_y_minus_delta,Mean_y_plus_delta
XMMXCS J122528.1+004229.1,0.24,2.212,1.85,2.831,2.144,1.742,2.673
XMMXCS J135358.8+335003.1,0.17,1.672,1.461,1.954,2.069,1.718,2.524
XMMXCS J010608.4+005031.4,0.26,1.925,1.652,2.248,1.925,1.652,2.248
XMMXCS J083724.4+553249.8,0.29,3.21,1.88,6.573,1.828,1.086,4.147
XMMXCS J130240.0+672840.5,0.11,1.979,1.63,2.276,1.808,1.666,2.009
XMMXCS J121321.1+291415.7,0.14,1.794,1.434,2.627,1.794,1.434,2.627
XMMXCS J012340.2+330548.1,0.26,2.624,1.839,3.85,1.619,1.261,2.125
XMMXCS J235537.0+055129.0,0.28,2.027,1.341,3.545,1.586,1.138,2.305
XMMXCS J082139.6+012315.5,0.26,3.66,1.359,25.405,1.286,0.942,2.008
XMMXCS J134124.3-010204.0,0.28,1.073,0.24,3.996,1.235,0.856,1.817
XMMXCS J150918.3-001432.7,0.27,1.007,0.748,1.347,1.007,0.748,1.347
XMMXCS J092129.1+370059.9,0.23,1.57,1.468,1.679,0.973,0.856,1.063
XMMXCS J130741.7+292627.9,0.26,0.854,0.54,1.435,0.854,0.54,1.435
XMMXCS J092114.5+370131.3,0.23,0.619,0.464,0.759,0.797,0.691,0.878
XMMXCS J120439.0+352233.2,0.19,0.547,0.403,0.677,0.547,0.433,0.631
