Name,X (Semi-Major axis),X error,Y (Orbital period),Y lower error bound,Y upper error bound
Kepler-31 c,0.254502,0.0119188,42.6318,0.0005,0.0005
HD 38801 b,1.6471,0.0317884,696.3,2.7,2.7
HD 132563 B b,2.62431,0.0582866,1544,34,34
Kepler-61 b,0.257458,0.00500051,59.87756,0.0002,0.0002
GJ 667 C c,0.125092,0.00208676,28.13,0.03,0.03
HD 207832 c,2.1118,0.100039,1155.7,71.9,37
Kepler-44 b,0.0454854,0.0012741,3.24674,1.8E-05,1.8E-05
HD 5891 b,0.636168,0.0369719,177.11,0.32,0.32
HD 173416 b,1.16272,0.0583746,323.6,2.2,2.2
HD 76700 b,0.0511051,0.00147114,3.97097,0.00023,0.00023
HD 39091 b,3.34651,0.104323,2151,85,85
HD 7449 b,2.33982,0.0421156,1275,15,11
HD 149026 b,0.0431325,0.000718875,2.8758911,2.5E-06,2.5E-06
OGLE-2006-BLG-109L c,4.8168,2.60672,5405.7,6282.3,2483.7
Qatar-2 b,0.0215077,0.000358461,1.3371182,3.7E-06,3.7E-06
HD 216437 b,2.48556,0.0515128,1353,25,25
HAT-P-7 b,0.037964,0.000632733,2.204737,1.7E-05,1.7E-05
HD 49674 b,0.0571073,0.000951819,4.94737,0.00098,0.00098
WASP-38 b,0.0758454,0.00126409,6.87188,1E-05,1E-05
HD 77338 b,0.0612143,0.00109708,5.7361,0.0015,0.0015
Kepler-29 c,0.109809,0.00439236,13.2907,0.0002,0.0002
HD 220773 b,4.94302,0.417832,3724.7,463,463
WASP-6 b,0.0428704,0.000714507,3.361006,2.2E-06,3.4E-06
HD 159868 c,1.02595,0.0172844,352.3,1.3,1.3
HD 137388 b,0.88883,0.0157629,330,2,4
Kepler-52 c,0.10281,0.0017135,16.3850021,0.00014,0.00014
HD 100777 b,1.03378,0.0345267,383.70001,1.2,1.2
HAT-P-5 b,0.0407152,0.000727266,2.788491,2.5E-05,2.5E-05
HD 222582 b,1.33658,0.0222965,572.38,0.61,0.61
Kepler-16 b,0.646795,0.0107801,228.776,0.02,0.037
Kepler-32 d,0.128069,0.00213448,22.7802,0.0005,0.0005
Kepler-58 c,0.119982,0.00199971,15.5741568,0.00027,0.00027
WASP-33 b,0.0255483,0.000425806,1.21986983,4.5E-07,4.5E-07
HD 128311 b,1.08649,0.018287,454.2,1.6,1.6
HD 181433 d,3.02208,0.154972,2172,158,158
TrES-1 b,0.0392516,0.000654194,3.030065,8E-06,8E-06
HD 4208 b,1.65355,0.0295939,828,8.1,8.1
Kepler-62 e,0.426299,0.00710498,122.3874,0.0008,0.0008
HD 5388 b,1.76349,0.0300082,777,4,4
CoRoT-10 b,0.105463,0.00197497,13.2406,0.0002,0.0002
11 UMi b,1.53498,0.0713553,516.22,3.25,3.25
WASP-62 b,0.0567187,0.000945311,4.411953,3E-06,3E-06
HD 4732 c,4.60219,0.175324,2732,81,81
kappa CrB b,2.71619,0.0503798,1300,15,15
Kepler-25 b,0.0708678,0.00118113,6.23855,5.8E-05,5.8E-05
HD 99492 b,0.121908,0.00203192,17.0431,0.0047,0.0047
HD 204941 b,2.55427,0.0842578,1733,74,74
HD 196050 b,2.51056,0.0490039,1378,21,21
WASP-11 b,0.0436466,0.000727443,3.722465,6E-06,8E-06
HD 111232 b,1.97489,0.036653,1143,14,14
HD 117618 b,0.174852,0.00291547,25.827,0.019,0.019
HD 180902 b,1.38103,0.0368461,479,13,13
HIP 12961 b,0.25497,0.00849991,57.435,0.042,0.042
HD 63454 b,0.0362523,0.000604205,2.818049,7.1E-05,7.1E-05
BD +48 738 b,1.11234,0.075497,392.6,5.5,5.5
Kepler-62 c,0.0928559,0.0015476,12.4417,0.0001,0.0001
NGC 2423 3 b,1.6555,0.121866,714.3,5.3,5.3
Kepler-33 c,0.118876,0.00251688,13.17562,0.00014,0.00014
HD 50499 b,3.87172,0.0758418,2457.8717,37.9467,37.9467
CoRoT-14 b,0.0269122,0.000714486,1.51214,0.00013,0.00013
CoRoT-4 b,0.0903166,0.00150528,9.20205,0.00037,0.00037
HAT-P-19 b,0.0466409,0.000777348,4.008778,6E-06,6E-06
Kepler-24 c,0.105496,0.00426764,12.3318,0.00034,0.00034
Kepler-47 c,0.895669,0.0157443,303.158,0.072,0.072
Kepler-33 f,0.253499,0.00536713,41.02902,0.00042,0.00042
