Name,X (Semi-Major axis),X error,Y (Orbital period),Y lower error bound,Y upper error bound
61 Vir c,0.216926,0.00361774,38.021,0.034,0.034
HD 45652 b,0.227878,0.00462861,43.6,0.2,0.2
HAT-P-14 b,0.0606258,0.00101043,4.627669,5E-06,5E-06
WASP-66 b,0.0546221,0.000980397,4.086052,7E-06,7E-06
HD 73256 b,0.0371348,0.000618915,2.5485799,0.00016,0.00016
Kepler-56 b,0.104248,0.00173747,10.5034294,0.00025,0.00025
6 Lyn b,2.18639,0.055765,874.774,12,12
HD 180314 b,1.45528,0.055993,396.03,0.62,0.62
HD 17092 b,1.30798,0.0571653,359.89999,2.4,2.4
HIP 57274 b,0.0712798,0.00162756,8.1352,0.004,0.004
HD 202206 b,0.811776,0.0163771,255.87,0.06,0.06
WASP-5 b,0.0271923,0.000453206,1.6284229,4.3E-06,3.9E-06
CoRoT-2 b,0.0280884,0.000579142,1.7429935,1E-06,1E-06
HD 108874 c,2.72021,0.0521797,1680.3835,23.9362,23.9362
HD 200964 c,2.00121,0.0340061,825,4.1,4.1
HD 10180 h,3.42452,0.120055,2248,102,106
HD 33142 b,1.09038,0.0219788,326.6,3.9,3.9
HAT-P-20 b,0.03616,0.000602667,2.875317,4E-06,4E-06
HD 7924 b,0.0566409,0.000944074,5.3978,0.0015,0.0015
CoRoT-5 b,0.0496334,0.000827224,4.0378962,0.0002,0.0002
WASP-47 b,0.0520112,0.000866853,4.1591399,7.2E-06,7.2E-06
Kepler-36 b,0.115423,0.00192372,13.83989,0.00082,0.0006
HAT-P-35 b,0.0497734,0.000829557,3.646706,2.1E-05,2.1E-05
HD 99109 b,1.10806,0.0207299,439.3,5.6,5.6
Kepler-5 b,0.0506416,0.000844027,3.54846,3.2E-05,3.2E-05
HD 10647 b,2.02175,0.0824527,1003,56,56
Kepler-28 c,0.0768547,0.00128091,8.98597,0.00027,0.00027
upsilon And c,0.830445,0.0138475,241.33335,0.189011,0.189011
WASP-12 b,0.0225329,0.000375549,1.09142245,3.3E-07,3.3E-07
HD 170469 b,2.23538,0.0452381,1145,18,18
HD 88133 b,0.0469104,0.00079511,3.41587,0.00059,0.00059
HD 196885 b,2.54171,0.0464553,1333,15,15
24 Sex b,1.4118,0.0244426,455.2,3.2,3.2
HD 190228 b,2.60478,0.0459746,1136.1,9.9,9.9
OGLE-2006-BLG-109L b,2.30586,0.489994,1789.72,548.4,583.876
HD 181720 b,1.84741,0.0356838,956,14,14
55 Cnc c,0.237305,0.00395515,44.38,0.007,0.007
HD 156411 b,1.87545,0.0379527,842.2,14.5,14.5
HD 27894 b,0.122117,0.00203554,17.990999,0.007,0.007
HD 156279 b,0.494507,0.00835298,131.05,0.54,0.54
61 Vir d,0.474527,0.00803427,123.01,0.55,0.55
HD 179079 b,0.119635,0.00365907,14.476,0.011,0.011
WASP-4 b,0.0230406,0.000421988,1.3382299,2.3E-06,2.1E-06
HD 4113 b,1.27266,0.0212165,526.62,0.3,0.3
HD 330075 b,0.0392074,0.000653457,3.38773,8E-05,8E-05
HD 104985 b,0.678014,0.0586746,199.505,0.085,0.085
HD 87883 b,3.57648,0.0960546,2754,87,87
HD 10180 g,1.42271,0.0293701,602,11,11
HD 66428 b,3.14259,0.0703736,1973,31,31
HD 52265 b,0.499878,0.00833477,119.29,0.086,0.086
HD 16417 b,0.135435,0.00225786,17.24,0.01,0.01
Kepler-15 b,0.0571382,0.000952303,4.942782,1.3E-06,1.3E-06
HD 205739 b,0.894939,0.0195627,279.8,0.1,0.1
CoRoT-16 b,0.0617874,0.00150061,5.35227,0.0002,0.0002
HD 216770 b,0.455837,0.00772722,118.45,0.55,0.55
HD 136418 b,1.29111,0.0297208,464.3,3.2,3.2
Kepler-59 b,0.103167,0.00171945,11.8681707,0.00036,0.00036
beta Pic b,8.76034,1.49677,7159,1826,1826
HD 188015 b,1.19018,0.0298231,461.2,1.7,1.7
WASP-59 b,0.0696866,0.00116144,7.919585,1E-05,1E-05
WASP-54 b,0.049881,0.00083135,3.6936411,7.4E-06,4.3E-06
HAT-P-8 b,0.0449613,0.000749354,3.076337,3.6E-06,3.6E-06
WASP-15 b,0.0499436,0.000832394,3.7521,9E-06,1.1E-05
HD 10180 d,0.128581,0.00214314,16.3567,0.0043,0.0043
HD 9446 c,0.65375,0.0218863,192.9,0.9,0.9
XO-4 b,0.05524,0.000920667,4.1250828,4E-06,4E-06
WASP-48 b,0.034488,0.000574801,2.143634,3E-06,3E-06
HD 37124 b,0.533637,0.00889632,154.378,0.089,0.089
WASP-32 b,0.0390315,0.000650524,2.718661,2E-06,2E-06
OGLE-TR-211 b,0.0512842,0.000854736,3.67724,3E-05,3E-05
gamma Cep b,1.9793,0.0734448,905.574,3.08,3.08
Kepler-11 g,0.463832,0.0162748,118.37774,0.00112,0.00112
GJ 86 b,0.114217,0.00190362,15.76491,0.00039,0.00039
HD 8574 b,0.757141,0.0126269,227,0.2,0.2
HD 82886 b,1.58126,0.0783915,705,34,34
HD 179949 b,0.0439208,0.000732013,3.092514,3.2E-05,3.2E-05
HD 2952 b,1.22755,0.0209982,311.6,1.7,1.9
HIP 14810 c,0.545404,0.00909271,147.76916,0.0890137,0.0890137
HD 28678 b,1.31659,0.0439196,387.1,3.4,3.4
WASP-56 b,0.056145,0.00093575,4.617101,4E-06,2E-06
Kepler-18 c,0.0752115,0.00125353,7.64159,3E-05,3E-05
CoRoT-8 b,0.0633825,0.00105637,6.21229,3E-05,3E-05
HD 96167 b,1.34724,0.0446015,498.9,1,1
HD 43197 b,0.918027,0.0154636,327.8,1.2,1.2
HD 37605 c,3.81754,0.638488,2720,57,57
HD 183263 b,1.49006,0.0248952,626.516,1.0976,1.0976
Kepler-32 c,0.0676835,0.00112806,8.7522,0.0003,0.0003
Kepler-23 b,0.0749015,0.00236302,7.10664,0.011,0.011
WASP-23 b,0.037022,0.00197767,2.9444256,1.2E-06,1.2E-06
11 Com b,1.17872,0.0558596,326.03,0.32,0.32
HD 145377 b,0.450064,0.00751044,103.95,0.13,0.13
omicron CrB b,0.826048,0.0155932,187.83,0.54,0.54
beta Gem b,1.73458,0.0867434,589.64001,0.81,0.81
Pr 201 b,0.0565986,0.000945196,4.4264,0.007,0.007
WASP-52 b,0.0271336,0.000452227,1.7497798,1.2E-06,1.2E-06
47 UMa b,2.10149,0.0351212,1078,2,2
HD 240210 b,1.33364,0.0890051,501.75,2.33,2.33
HD 109749 b,0.0629198,0.0017334,5.24,0.002,0.002
HD 45364 c,0.897549,0.0182494,342.85,0.28,0.28
WASP-50 b,0.0294714,0.000848017,1.9550959,5.1E-06,5.1E-06
GJ 3470 b,0.0356123,0.00147013,3.33714,0.00017,0.00017
HD 96127 b,1.42112,0.132442,647.3,16.8,16.8
HD 17156 b,0.163197,0.00271996,21.21663,0.00045,0.00045
HD 16760 b,1.08727,0.0235072,465.1,2.3,2.3
HD 30562 b,2.34083,0.0649419,1157,27,27
Kepler-46 b,0.1969,0.00328167,33.60134,0.00021,0.0002
epsilon CrB b,1.23696,0.0515494,417.9,0.5,0.5
omicron UMa b,3.94973,0.0867768,1630,35,35
TrES-2 b,0.0355765,0.0007359,2.47063,1E-05,1E-05
HD 102195 b,0.0479747,0.000799589,4.113775,0.000557,0.000557
HD 75289 b,0.047858,0.000797634,3.509267,6.4E-05,6.4E-05
HD 185269 b,0.0765701,0.00199403,6.8378503,0.001,0.001
WASP-7 b,0.0604573,0.00100762,4.954658,4.9E-05,4.9E-05
WASP-41 b,0.0404959,0.00127882,3.052401,4E-06,4E-06
BD -10 3166 b,0.0437823,0.000729706,3.48777,0.00011,0.00011
HD 190360 b,3.97285,0.0712176,2915.0369,28.8606,28.8606
HAT-P-13 c,1.22574,0.0251209,446.27,0.22,0.22
GJ 317 b,0.953818,0.0529912,692.90002,0.4,0.4
HD 37605 b,0.283337,0.0472229,55.01307,0.00064,0.00064
WASP-44 b,0.0347371,0.000578952,2.4238039,8.7E-06,8.7E-06
CoRoT-12 b,0.0401409,0.000924706,2.828042,1.3E-05,1.3E-05
CoRoT-1 b,0.0253191,0.00133258,1.5089557,6.4E-06,6.4E-06
HD 125612 c,0.0522124,0.000949327,4.15474,0.00052,0.00052
GJ 581 b,0.0406125,0.000873386,5.36865,9E-05,9E-05
HD 102117 b,0.152077,0.00264481,20.8133,0.0064,0.0064
HD 189733 b,0.0309953,0.000615292,2.21857567,1.5E-07,1.5E-07
HD 108863 b,1.45325,0.033872,443.4,4.2,4.2
HD 1502 b,1.27206,0.0323082,431.8,3.1,3.1
HD 142022 b,2.93163,0.0675407,1928,46,46
WASP-72 b,0.036575,0.000609584,2.216726,1.5E-06,1.5E-06
HD 212771 b,1.16471,0.0217507,373.3,3.4,3.4
HD 134987 b,0.807929,0.0159702,258.18,0.07,0.07
HD 187123 c,4.83146,0.366704,3805.6705,422.695,422.695
HD 101930 b,0.302019,0.00682166,70.459999,0.18,0.18
Kepler-46 c,0.280101,0.00467195,57.011,0.051,0.061
HD 131664 b,3.17098,0.0690411,1951,41,41
HIP 57050 b,0.163506,0.00480918,41.397,0.016,0.016
Kepler-9 d,0.0266925,0.000889752,1.592851,4.5E-05,4.5E-05
Kepler-49 b,0.0598092,0.000996821,7.2037945,2.2E-05,2.2E-05
WASP-67 b,0.0517914,0.00086319,4.61442,1E-05,1E-05
HD 147018 c,1.92274,0.039381,1008,18,18
Kepler-32 b,0.0520435,0.000867392,5.90124,0.0001,0.0001
HD 92788 b,0.951142,0.0158604,325.81,0.26,0.26
HAT-P-12 b,0.0383737,0.000639561,3.2130598,2.1E-06,2.1E-06
HD 154857 b,1.29206,0.0216371,409,1,1
Kepler-25 c,0.113953,0.00189922,12.720359,3.8E-05,3.8E-05
HD 163607 b,0.359201,0.00598702,75.29,0.02,0.02
HD 19994 b,1.30567,0.0219914,466.2,1.7,1.7
WASP-29 b,0.0456587,0.000760979,3.922727,4E-06,4E-06
OGLE-TR-182 b,0.0513517,0.000855862,3.9791,1E-05,1E-05
HD 85512 b,0.260405,0.00435723,58.43,0.13,0.13
HD 106252 b,2.61147,0.0438514,1531,4.7,4.7
18 Del b,2.58655,0.0434657,993.3,3.2,3.2
Kepler-54 c,0.0822829,0.00137138,12.0717249,0.00029,0.00029
Kepler-33 b,0.0677431,0.00143427,5.66793,0.00016,0.00016
Kepler-34 b,0.86856,0.0144767,288.822,0.063,0.081
HD 171028 b,1.31895,0.0265545,550,3,3
WASP-1 b,0.0385203,0.000642005,2.5199449,1.3E-06,1.3E-06
XO-5 b,0.0508651,0.000847751,4.1877537,1.7E-06,1.7E-06
HAT-P-3 b,0.0388252,0.000683346,2.899703,5.4E-05,5.4E-05
upsilon And d,2.52452,0.0424048,1278.1218,4.00647,4.00647
